net,length_um
net81,253.2µm
_0078_,219.23µm
_0079_,200.55µm
net88,190.38µm
net80,184.685µm
net116,175.13µm
net79,172.88µm
_0074_,170.6µm
clknet_0_clk,155.69µm
net86,152.46µm
net9,151.9µm
net5,149.08µm
net89,146.45µm
net120,142.2µm
net87,140.22µm
net106,140.04µm
_0085_,138.7µm
net102,135.48µm
_0073_,134.5µm
_0070_,134.32µm
net83,128.34µm
_0080_,128.28µm
net109,128.16µm
net82,126.16µm
net113,125.55µm
_0077_,122.73µm
net110,122.32µm
net155,121.24µm
_0086_,121.12µm
_0084_,120.04µm
net97,117.22µm
net104,117.22µm
_0076_,116.65µm
net105,116.44µm
clknet_3_5__leaf_clk,115.48µm
clknet_3_4__leaf_clk,114.62µm
_0000_,114.31µm
net12,114.21µm
net90,113.52µm
net108,113.115µm
net134,112.9µm
clknet_3_7__leaf_clk,110.64µm
net118,108.45µm
net99,108.22µm
net84,107.14µm
_0232_,106.57µm
net126,106.18µm
net94,103.855µm
_0075_,103.52µm
net77,101µm
clknet_3_2__leaf_clk,99.32µm
clknet_3_0__leaf_clk,99.06µm
net133,97.96µm
net128,97.06µm
clknet_3_6__leaf_clk,96.58µm
net119,96.06µm
net10,95.24µm
net123,94.22µm
net107,93.69µm
net129,91.18µm
net15,89.58µm
net11,87.86µm
net125,87.8µm
net111,86.51µm
net93,85.48µm
net122,85.46µm
clknet_3_3__leaf_clk,84.88µm
net132,82.94µm
product_reg\[15\],82.22µm
net78,81.98µm
net121,81.44µm
net115,76.54µm
net92,75.37µm
net117,71.14µm
net17,70.11µm
_0081_,69.95µm
net101,69.94µm
net135,69.885µm
net114,69.62µm
net20,69.56µm
clk,67.27µm
v_pipe,66.4µm
_0477_,65.98µm
net65,65.88µm
net130,64.86µm
net72,64.28µm
net127,62.82µm
net85,61.6µm
net192,61.27µm
_0196_,60.5µm
net76,58µm
_0430_,57.8µm
product_reg\[0\],57.4µm
net18,57.22µm
net57,56.04µm
net64,56.04µm
net19,55.82µm
net103,55.32µm
_0475_,54.78µm
net1,54.24µm
net6,53.48µm
net91,53.23µm
net68,52.6µm
_0083_,52.48µm
_0183_,52µm
_0478_,51.32µm
net43,51.01µm
net16,50.96µm
net95,50.58µm
_0427_,50.46µm
_0586_,49.3µm
net96,49.12µm
_0484_,48.8µm
net371,48.8µm
_0386_,48.75µm
net48,48.58µm
_0182_,48.16µm
net66,47.96µm
net370,47.66µm
net52,46.8µm
_0476_,46.76µm
_0537_,46.54µm
_0504_,46.52µm
_0479_,46.4µm
_0440_,45.94µm
net98,45.86µm
_0609_,45.74µm
net193,45.72µm
_0483_,45.3µm
_0468_,44.22µm
product_reg\[1\],43.96µm
_0216_,43.65µm
net44,43.6µm
_0210_,43.26µm
net67,42.82µm
_0620_,42.72µm
net38,42.7µm
_0375_,42.64µm
_0366_,42.59µm
_0357_,42.3µm
net40,41.9µm
net4,41.5µm
_0611_,41.26µm
clknet_3_1__leaf_clk,41.12µm
_0653_,41.06µm
net2,40.26µm
_0329_,40.18µm
_0579_,39.98µm
_0498_,39.66µm
_0684_,39.1µm
net39,38.56µm
net112,38.46µm
net45,38.44µm
_0381_,37.66µm
_0585_,37.48µm
net55,37.48µm
_0407_,37.42µm
_0337_,37.34µm
_0384_,37.32µm
_0429_,37.2µm
_0539_,37.2µm
net195,36.9µm
_0515_,36.74µm
_0639_,36.58µm
_0376_,36.4µm
_0509_,36.36µm
_0406_,36.2µm
_0065_,35.98µm
product_reg\[5\],35.9µm
product_reg\[11\],35.895µm
_0319_,35.22µm
_0632_,35.18µm
net59,35.1µm
net41,35.02µm
_0558_,34.78µm
net197,34.77µm
_0331_,34.16µm
_0374_,34.16µm
net196,34.16µm
_0385_,33.89µm
_0151_,33.87µm
net37,33.805µm
_0486_,33.62µm
_0353_,33.58µm
net71,33.52µm
_0578_,33.5µm
_0342_,33.4µm
_0470_,33.22µm
net161,33.13µm
net177,32.88µm
_0615_,32.29µm
_0487_,32.22µm
_0595_,32.16µm
net58,31.98µm
_0435_,31.92µm
net56,31.86µm
_0511_,31.84µm
_0434_,31.72µm
_0428_,31.7µm
_0293_,31.4µm
_0090_,31.32µm
net49,31.14µm
_0273_,30.895µm
net63,30.78µm
_0308_,30.7µm
_0489_,30.5µm
_0356_,30.24µm
_0508_,30.18µm
_0414_,30.1µm
_0197_,29.98µm
_0138_,29.96µm
_0438_,29.96µm
_0247_,29.88µm
_0338_,29.78µm
_0555_,29.7µm
_0193_,29.44µm
_0674_,29.38µm
_0316_,29.35µm
