Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_309,VPWR,li1,148.1200,144.1600,1.799326
FILLER_48_303,VPWR,li1,145.1300,144.1600,1.799326
FILLER_48_297,VPWR,li1,143.5200,144.1600,1.799326
FILLER_48_265,VPWR,li1,127.6500,144.1600,1.799326
FILLER_48_253,VPWR,li1,124.6600,144.1600,1.799326
FILLER_48_249,VPWR,li1,120.7500,144.1600,1.799326
FILLER_48_241,VPWR,li1,118.2200,144.1600,1.799326
FILLER_48_229,VPWR,li1,113.6200,144.1600,1.799330
FILLER_48_217,VPWR,li1,108.1000,144.1600,1.799340
FILLER_48_205,VPWR,li1,102.5800,144.1600,1.799346
FILLER_48_174,VPWR,li1,86.0200,144.1600,1.799392
FILLER_48_141,VPWR,li1,70.8400,144.1600,1.799465
FILLER_48_109,VPWR,li1,57.0400,144.1600,1.799543
FILLER_48_81,VPWR,li1,43.4700,144.1600,1.799663
FILLER_48_27,VPWR,li1,18.1700,144.1600,1.799883
FILLER_48_15,VPWR,li1,15.1800,144.1600,1.799883
FILLER_48_3,VPWR,li1,9.6600,144.1600,1.799882
FILLER_47_310,VPWR,li1,148.3500,138.7200,1.799669
FILLER_47_302,VPWR,li1,146.2800,138.7200,1.799669
FILLER_47_290,VPWR,li1,141.6800,138.7200,1.799669
FILLER_47_267,VPWR,li1,128.5700,138.7200,1.799669
FILLER_47_261,VPWR,li1,126.9600,138.7200,1.799669
FILLER_47_249,VPWR,li1,122.8200,138.7200,1.799669
FILLER_47_237,VPWR,li1,117.3000,138.7200,1.799669
FILLER_47_225,VPWR,li1,111.7800,138.7200,1.799669
FILLER_47_223,VPWR,li1,108.3300,138.7200,1.799670
FILLER_47_219,VPWR,li1,107.1800,138.7200,1.799670
FILLER_47_207,VPWR,li1,103.5000,138.7200,1.799670
FILLER_47_177,VPWR,li1,87.6300,138.7200,1.799701
FILLER_47_169,VPWR,li1,85.1000,138.7200,1.799705
FILLER_47_167,VPWR,li1,82.5700,138.7200,1.799711
FILLER_47_163,VPWR,li1,80.7300,138.7200,1.799715
FILLER_47_159,VPWR,li1,79.5800,138.7200,1.799720
FILLER_47_147,VPWR,li1,73.3700,138.7200,1.799733
FILLER_47_140,VPWR,li1,70.1500,138.7200,1.799740
FILLER_47_135,VPWR,li1,68.0800,138.7200,1.799746
FILLER_47_129,VPWR,li1,65.5500,138.7200,1.799752
FILLER_47_121,VPWR,li1,61.4100,138.7200,1.799764
FILLER_47_113,VPWR,li1,59.3400,138.7200,1.799770
FILLER_47_111,VPWR,li1,56.8100,138.7200,1.799781
FILLER_47_107,VPWR,li1,55.6600,138.7200,1.799781
FILLER_47_39,VPWR,li1,23.6900,138.7200,1.799913
FILLER_47_15,VPWR,li1,12.8800,138.7200,1.799913
FILLER_47_7,VPWR,li1,10.5800,138.7200,1.799912
FILLER_46_309,VPWR,li1,148.1200,138.7200,1.799669
FILLER_46_301,VPWR,li1,144.6700,138.7200,1.799669
FILLER_46_293,VPWR,li1,142.1400,138.7200,1.799669
FILLER_46_261,VPWR,li1,126.2700,138.7200,1.799669
FILLER_46_253,VPWR,li1,123.7400,138.7200,1.799669
FILLER_46_251,VPWR,li1,121.2100,138.7200,1.799669
FILLER_46_245,VPWR,li1,119.6000,138.7200,1.799669
FILLER_46_234,VPWR,li1,113.8500,138.7200,1.799669
FILLER_46_222,VPWR,li1,110.4000,138.7200,1.799669
FILLER_46_205,VPWR,li1,100.0500,138.7200,1.799676
FILLER_46_193,VPWR,li1,94.9900,138.7200,1.799684
FILLER_46_177,VPWR,li1,87.1700,138.7200,1.799701
FILLER_46_165,VPWR,li1,84.1800,138.7200,1.799711
FILLER_46_153,VPWR,li1,78.6600,138.7200,1.799720
FILLER_46_141,VPWR,li1,73.1400,138.7200,1.799733
FILLER_46_139,VPWR,li1,69.6900,138.7200,1.799746
FILLER_46_133,VPWR,li1,68.0800,138.7200,1.799746
FILLER_46_121,VPWR,li1,63.9400,138.7200,1.799759
FILLER_46_102,VPWR,li1,52.9000,138.7200,1.799790
FILLER_46_73,VPWR,li1,39.5600,138.7200,1.799842
FILLER_46_24,VPWR,li1,17.4800,138.7200,1.799917
FILLER_46_12,VPWR,li1,13.8000,138.7200,1.799913
FILLER_45_305,VPWR,li1,147.2000,133.2800,1.799759
FILLER_45_293,VPWR,li1,143.0600,133.2800,1.799759
FILLER_45_281,VPWR,li1,137.5400,133.2800,1.799760
FILLER_45_272,VPWR,li1,132.4800,133.2800,1.799760
FILLER_45_260,VPWR,li1,127.8800,133.2800,1.799760
FILLER_45_225,VPWR,li1,109.9400,133.2800,1.799764
FILLER_45_223,VPWR,li1,108.3300,133.2800,1.799764
FILLER_45_215,VPWR,li1,106.2600,133.2800,1.799765
FILLER_45_202,VPWR,li1,99.3600,133.2800,1.799768
