Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_253,VGND,li1,122.1300,125.1200,0.000543
FILLER_42_250,VGND,li1,120.9800,125.1200,0.000543
FILLER_42_186,VGND,li1,91.7700,125.1200,0.000495
FILLER_42_178,VGND,li1,87.6300,125.1200,0.000480
FILLER_42_169,VGND,li1,83.4900,125.1200,0.000463
FILLER_42_166,VGND,li1,82.3400,125.1200,0.000456
FILLER_42_156,VGND,li1,77.5100,125.1200,0.000436
FILLER_42_78,VGND,li1,41.6300,125.1200,0.000228
FILLER_42_29,VGND,li1,19.7800,125.1200,0.000100
FILLER_42_26,VGND,li1,17.9400,125.1200,0.000102
FILLER_42_14,VGND,li1,14.7200,125.1200,0.000106
FILLER_42_7,VGND,li1,8.9700,125.1200,0.000106
FILLER_42_3,VGND,li1,7.8200,125.1200,0.000106
FILLER_41_150,VGND,li1,74.9800,125.1200,0.000427
FILLER_41_117,VGND,li1,59.5700,125.1200,0.000351
FILLER_41_57,VGND,li1,31.9700,125.1200,0.000155
FILLER_40_253,VGND,li1,122.1300,119.6800,0.000530
FILLER_40_177,VGND,li1,87.4000,119.6800,0.000479
FILLER_40_166,VGND,li1,82.5700,119.6800,0.000456
FILLER_40_139,VGND,li1,69.6900,119.6800,0.000401
FILLER_40_82,VGND,li1,43.7000,119.6800,0.000264
FILLER_40_44,VGND,li1,25.9900,119.6800,0.000122
FILLER_40_36,VGND,li1,23.9200,119.6800,0.000103
FILLER_40_19,VGND,li1,14.4900,119.6800,0.000114
FILLER_39_252,VGND,li1,121.9000,119.6800,0.000530
FILLER_39_235,VGND,li1,113.8500,119.6800,0.000525
FILLER_39_185,VGND,li1,90.8500,119.6800,0.000490
FILLER_39_124,VGND,li1,63.2500,119.6800,0.000373
FILLER_39_111,VGND,li1,56.8100,119.6800,0.000339
FILLER_39_74,VGND,li1,40.2500,119.6800,0.000241
FILLER_39_65,VGND,li1,35.8800,119.6800,0.000208
FILLER_39_23,VGND,li1,16.7900,119.6800,0.000112
FILLER_39_3,VGND,li1,7.8200,119.6800,0.000119
FILLER_38_253,VGND,li1,122.1300,114.2400,0.000309
FILLER_38_194,VGND,li1,95.2200,114.2400,0.000303
FILLER_38_189,VGND,li1,92.6900,114.2400,0.000300
FILLER_38_183,VGND,li1,90.1600,114.2400,0.000296
FILLER_38_172,VGND,li1,85.1000,114.2400,0.000288
FILLER_38_153,VGND,li1,76.5900,114.2400,0.000273
FILLER_38_144,VGND,li1,73.1400,114.2400,0.000270
FILLER_38_139,VGND,li1,69.6900,114.2400,0.000263
FILLER_38_135,VGND,li1,68.5400,114.2400,0.000263
FILLER_38_89,VGND,li1,46.6900,114.2400,0.000179
FILLER_38_85,VGND,li1,45.5400,114.2400,0.000165
FILLER_38_83,VGND,li1,43.9300,114.2400,0.000165
FILLER_38_71,VGND,li1,39.1000,114.2400,0.000132
FILLER_38_59,VGND,li1,35.4200,114.2400,0.000120
FILLER_38_41,VGND,li1,24.8400,114.2400,0.000064
FILLER_38_29,VGND,li1,19.5500,114.2400,0.000072
FILLER_37_249,VGND,li1,120.2900,114.2400,0.000309
FILLER_37_207,VGND,li1,100.9700,114.2400,0.000307
FILLER_37_182,VGND,li1,89.4700,114.2400,0.000293
FILLER_37_169,VGND,li1,83.4900,114.2400,0.000285
FILLER_37_167,VGND,li1,82.5700,114.2400,0.000285
