Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VGND,li1,148.1200,152.3200,0.000126
FILLER_52_305,VGND,li1,146.5100,152.3200,0.000126
FILLER_52_293,VGND,li1,143.0600,152.3200,0.000126
FILLER_52_281,VGND,li1,137.5400,152.3200,0.000126
FILLER_52_279,VGND,li1,134.0900,152.3200,0.000126
FILLER_52_273,VGND,li1,132.4800,152.3200,0.000126
FILLER_52_266,VGND,li1,128.5700,152.3200,0.000126
FILLER_52_261,VGND,li1,125.8100,152.3200,0.000126
FILLER_52_253,VGND,li1,123.7400,152.3200,0.000126
FILLER_52_251,VGND,li1,121.2100,152.3200,0.000126
FILLER_52_245,VGND,li1,119.6000,152.3200,0.000126
FILLER_52_238,VGND,li1,115.6900,152.3200,0.000126
FILLER_52_231,VGND,li1,112.4700,152.3200,0.000126
FILLER_52_225,VGND,li1,109.4800,152.3200,0.000125
FILLER_52_223,VGND,li1,108.3300,152.3200,0.000124
FILLER_52_217,VGND,li1,106.7200,152.3200,0.000124
FILLER_52_210,VGND,li1,102.8100,152.3200,0.000123
FILLER_52_203,VGND,li1,99.5900,152.3200,0.000122
FILLER_52_197,VGND,li1,96.6000,152.3200,0.000120
FILLER_52_189,VGND,li1,93.1500,152.3200,0.000116
FILLER_52_182,VGND,li1,89.9300,152.3200,0.000113
FILLER_52_174,VGND,li1,86.4800,152.3200,0.000109
FILLER_52_169,VGND,li1,83.7200,152.3200,0.000106
FILLER_52_165,VGND,li1,82.1100,152.3200,0.000106
FILLER_52_153,VGND,li1,78.6600,152.3200,0.000101
FILLER_52_146,VGND,li1,73.6000,152.3200,0.000096
FILLER_52_141,VGND,li1,70.8400,152.3200,0.000093
FILLER_52_138,VGND,li1,69.4600,152.3200,0.000091
FILLER_52_126,VGND,li1,66.2400,152.3200,0.000086
FILLER_52_119,VGND,li1,60.9500,152.3200,0.000078
FILLER_52_113,VGND,li1,57.9600,152.3200,0.000073
FILLER_52_109,VGND,li1,56.3500,152.3200,0.000073
FILLER_52_97,VGND,li1,52.9000,152.3200,0.000068
FILLER_52_85,VGND,li1,47.3800,152.3200,0.000059
FILLER_52_81,VGND,li1,43.4700,152.3200,0.000053
FILLER_52_69,VGND,li1,40.0200,152.3200,0.000045
FILLER_52_57,VGND,li1,34.5000,152.3200,0.000036
FILLER_52_53,VGND,li1,30.5900,152.3200,0.000028
FILLER_52_41,VGND,li1,27.1400,152.3200,0.000022
FILLER_52_29,VGND,li1,21.6200,152.3200,0.000019
FILLER_52_27,VGND,li1,18.1700,152.3200,0.000019
FILLER_52_15,VGND,li1,15.1800,152.3200,0.000019
FILLER_52_3,VGND,li1,9.6600,152.3200,0.000019
FILLER_51_307,VGND,li1,147.6600,152.3200,0.000126
FILLER_51_298,VGND,li1,142.8300,152.3200,0.000126
FILLER_51_286,VGND,li1,139.8400,152.3200,0.000126
FILLER_51_265,VGND,li1,127.6500,152.3200,0.000126
FILLER_51_261,VGND,li1,126.5000,152.3200,0.000126
FILLER_51_249,VGND,li1,122.8200,152.3200,0.000126
FILLER_51_237,VGND,li1,117.3000,152.3200,0.000126
FILLER_51_225,VGND,li1,111.7800,152.3200,0.000126
FILLER_51_223,VGND,li1,108.3300,152.3200,0.000124
FILLER_51_219,VGND,li1,107.1800,152.3200,0.000124
FILLER_51_213,VGND,li1,103.7300,152.3200,0.000123
FILLER_51_205,VGND,li1,101.6600,152.3200,0.000123
FILLER_51_193,VGND,li1,97.0600,152.3200,0.000120
FILLER_51_181,VGND,li1,91.5400,152.3200,0.000116
FILLER_51_169,VGND,li1,86.0200,152.3200,0.000109
FILLER_51_166,VGND,li1,82.3400,152.3200,0.000106
FILLER_51_154,VGND,li1,79.1200,152.3200,0.000101
FILLER_51_142,VGND,li1,73.6000,152.3200,0.000096
FILLER_51_137,VGND,li1,69.0000,152.3200,0.000091
FILLER_51_125,VGND,li1,65.7800,152.3200,0.000086
FILLER_51_113,VGND,li1,60.2600,152.3200,0.000078
FILLER_51_109,VGND,li1,56.3500,152.3200,0.000073
FILLER_51_97,VGND,li1,52.9000,152.3200,0.000068
FILLER_51_85,VGND,li1,47.3800,152.3200,0.000059
FILLER_51_77,VGND,li1,41.4000,152.3200,0.000049
FILLER_51_69,VGND,li1,39.1000,152.3200,0.000045
FILLER_51_57,VGND,li1,34.5000,152.3200,0.000036
FILLER_51_55,VGND,li1,31.0500,152.3200,0.000028
