net,length_um
net127,211.5µm
_0074_,204.43µm
net79,189.43µm
net118,186.38µm
net80,184.18µm
net114,179.05µm
net108,173.74µm
_0078_,173.15µm
net100,165.04µm
_0079_,161.98µm
net86,157.02µm
net125,151.59µm
net84,150.08µm
net105,149.76µm
net87,147.66µm
net124,146.62µm
_0070_,146.3µm
_0076_,142.02µm
net78,140.54µm
clknet_0_clk,137.08µm
net101,134.74µm
net5,134.12µm
net126,133.58µm
net82,133.02µm
clknet_3_2__leaf_clk,130.74µm
net98,130.69µm
net76,128.35µm
_0085_,126.69µm
_0232_,124.09µm
net117,123.04µm
net132,122.95µm
net85,121.16µm
_0080_,119.93µm
net122,119.08µm
net104,119.07µm
net120,118.415µm
_0196_,117.23µm
net2,117.18µm
net112,116.93µm
clknet_3_7__leaf_clk,116.32µm
net223,114.64µm
clk,112.11µm
net354,111.82µm
net89,111.08µm
net123,110.965µm
net81,110.6µm
net116,110.2µm
v_pipe,106.4µm
_0075_,105.78µm
net119,105.62µm
_0077_,105.56µm
net107,103.01µm
_0073_,102.64µm
net75,101.48µm
product_reg\[14\],101.38µm
net77,100.84µm
_0000_,97.125µm
clknet_3_3__leaf_clk,97.02µm
net106,96.75µm
net310,94.6µm
net103,94.56µm
net131,93.86µm
net102,92.48µm
net90,90.96µm
net88,89.96µm
net210,89.04µm
clknet_3_0__leaf_clk,88.6µm
clknet_3_5__leaf_clk,88.26µm
_0086_,86.02µm
net219,83.91µm
net115,81.26µm
net16,78.27µm
net121,78.18µm
net83,77.75µm
net113,77.68µm
clknet_3_6__leaf_clk,77.62µm
net74,76.52µm
net165,73.46µm
clknet_3_4__leaf_clk,71.46µm
net93,71.16µm
net168,71.04µm
net130,69.92µm
net330,69.46µm
_0427_,67.64µm
net109,66.4µm
net111,65.82µm
net72,65.32µm
net387,65.22µm
_0475_,63.54µm
net92,63.32µm
net91,61.15µm
net279,60.04µm
_0386_,59.62µm
net280,58.98µm
net315,57.83µm
_0210_,56.8µm
net227,56.6µm
net17,55.96µm
_0586_,55.9µm
_0384_,55.88µm
_0375_,53.5µm
net99,52.84µm
net42,52.78µm
net317,52.61µm
_0477_,52.54µm
net388,51.82µm
net15,51.64µm
net110,51.22µm
_0684_,51.18µm
net10,51.08µm
net38,50.76µm
_0476_,50.56µm
_0438_,50.06µm
_0407_,49µm
net65,48.34µm
_0430_,48.22µm
net217,48.06µm
_0478_,47.84µm
_0366_,47.44µm
_0483_,47.02µm
_0537_,46.68µm
net71,46.48µm
net40,46.47µm
net11,46.41µm
net39,46.28µm
net66,46.2µm
_0428_,46.18µm
_0182_,46.08µm
net6,45.86µm
_0653_,45.72µm
_0511_,45.44µm
net380,45.44µm
product_reg\[3\],45.4µm
clknet_3_1__leaf_clk,45.32µm
net58,44.94µm
_0479_,44.86µm
net68,44.54µm
_0498_,43.64µm
_0374_,43.52µm
net44,43.34µm
net18,43.3µm
_0484_,42.16µm
net52,41.88µm
_0385_,41.8µm
net27,41.76µm
_0083_,41.62µm
net129,41.26µm
_0515_,40.94µm
net94,40.885µm
net57,40.86µm
_0429_,39.54µm
product_reg\[7\],39.38µm
_0632_,39.25µm
_0395_,38.76µm
_0578_,38.44µm
_0394_,38.36µm
net356,38.32µm
_0406_,38.28µm
net379,38.14µm
net357,38.06µm
_0620_,37.96µm
_0157_,37.92µm
_0585_,37.77µm
_0376_,37.18µm
_0410_,36.94µm
_0337_,36.74µm
_0494_,36.66µm
_0222_,36.6µm
net41,36.56µm
_0216_,36.42µm
_0279_,36.42µm
net20,36.1µm
_0538_,36µm
_0295_,35.98µm
_0247_,35.92µm
net55,35.84µm
net209,35.78µm
_0329_,35.74µm
net37,35.685µm
_0357_,35.62µm
net43,35.37µm
net19,35.18µm
_0470_,35.07µm
_0319_,35µm
_0460_,35µm
product_reg\[5\],34.96µm
_0396_,34.6µm
_0579_,34.58µm
_0437_,34.52µm
net362,34.52µm
net4,34.5µm
product_reg\[1\],34.38µm
_0539_,34.28µm
_0611_,34.2µm
_0454_,34.14µm
_0195_,33.78µm
_0327_,33.6µm
_0342_,33.4µm
_0633_,33.4µm
net14,33.4µm
_0090_,33.34µm
_0281_,33.255µm
