Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VGND,li1,148.1200,152.3200,0.000865
FILLER_52_307,VGND,li1,146.9700,152.3200,0.000865
FILLER_52_303,VGND,li1,145.8200,152.3200,0.000865
FILLER_52_279,VGND,li1,134.0900,152.3200,0.000859
FILLER_52_250,VGND,li1,120.9800,152.3200,0.000839
FILLER_52_222,VGND,li1,108.1000,152.3200,0.000799
FILLER_52_195,VGND,li1,95.4500,152.3200,0.000744
FILLER_52_169,VGND,li1,83.4900,152.3200,0.000679
FILLER_52_161,VGND,li1,80.2700,152.3200,0.000668
FILLER_52_154,VGND,li1,77.0500,152.3200,0.000650
FILLER_52_147,VGND,li1,73.8300,152.3200,0.000630
FILLER_52_141,VGND,li1,70.8400,152.3200,0.000608
FILLER_52_133,VGND,li1,67.3900,152.3200,0.000570
FILLER_52_126,VGND,li1,64.1700,152.3200,0.000547
FILLER_52_121,VGND,li1,61.4100,152.3200,0.000531
FILLER_52_113,VGND,li1,59.3400,152.3200,0.000513
FILLER_52_111,VGND,li1,56.8100,152.3200,0.000476
FILLER_52_105,VGND,li1,55.2000,152.3200,0.000476
FILLER_52_100,VGND,li1,51.7500,152.3200,0.000445
FILLER_52_85,VGND,li1,45.3100,152.3200,0.000379
FILLER_52_76,VGND,li1,41.4000,152.3200,0.000331
FILLER_52_64,VGND,li1,37.7200,152.3200,0.000280
FILLER_52_57,VGND,li1,32.2000,152.3200,0.000220
FILLER_52_53,VGND,li1,30.5900,152.3200,0.000191
FILLER_52_41,VGND,li1,27.1400,152.3200,0.000155
FILLER_52_29,VGND,li1,21.6200,152.3200,0.000129
FILLER_52_27,VGND,li1,18.1700,152.3200,0.000129
FILLER_52_15,VGND,li1,15.1800,152.3200,0.000129
FILLER_52_3,VGND,li1,9.6600,152.3200,0.000129
FILLER_51_305,VGND,li1,146.2800,152.3200,0.000865
FILLER_51_271,VGND,li1,130.6400,152.3200,0.000856
FILLER_51_254,VGND,li1,122.5900,152.3200,0.000839
FILLER_51_221,VGND,li1,107.8700,152.3200,0.000799
FILLER_51_166,VGND,li1,82.3400,152.3200,0.000679
FILLER_51_158,VGND,li1,80.0400,152.3200,0.000668
FILLER_51_125,VGND,li1,63.2500,152.3200,0.000547
FILLER_51_121,VGND,li1,62.1000,152.3200,0.000531
FILLER_51_95,VGND,li1,49.4500,152.3200,0.000421
FILLER_51_76,VGND,li1,41.1700,152.3200,0.000331
FILLER_51_57,VGND,li1,32.4300,152.3200,0.000220
FILLER_51_55,VGND,li1,31.0500,152.3200,0.000191
FILLER_51_51,VGND,li1,29.9000,152.3200,0.000191
FILLER_51_39,VGND,li1,26.2200,152.3200,0.000129
FILLER_51_27,VGND,li1,20.7000,152.3200,0.000129
FILLER_51_15,VGND,li1,15.1800,152.3200,0.000129
FILLER_51_3,VGND,li1,9.6600,152.3200,0.000129
FILLER_50_309,VGND,li1,148.1200,146.8800,0.000509
FILLER_50_291,VGND,li1,139.6100,146.8800,0.000504
FILLER_50_287,VGND,li1,138.4600,146.8800,0.000504
FILLER_50_282,VGND,li1,135.4700,146.8800,0.000501
FILLER_50_276,VGND,li1,133.8600,146.8800,0.000498
FILLER_50_260,VGND,li1,127.8800,146.8800,0.000492
FILLER_50_245,VGND,li1,118.9100,146.8800,0.000479
FILLER_50_238,VGND,li1,115.6900,146.8800,0.000474
FILLER_50_233,VGND,li1,112.9300,146.8800,0.000470
FILLER_50_227,VGND,li1,111.3200,146.8800,0.000470
FILLER_50_220,VGND,li1,107.1800,146.8800,0.000463
FILLER_50_188,VGND,li1,92.2300,146.8800,0.000440
FILLER_50_184,VGND,li1,91.0800,146.8800,0.000440
FILLER_50_146,VGND,li1,73.1400,146.8800,0.000383
FILLER_50_138,VGND,li1,69.4600,146.8800,0.000366
FILLER_50_126,VGND,li1,66.2400,146.8800,0.000348
FILLER_50_102,VGND,li1,54.2800,146.8800,0.000276
FILLER_50_93,VGND,li1,48.5300,146.8800,0.000247
FILLER_50_82,VGND,li1,43.7000,146.8800,0.000215
FILLER_50_70,VGND,li1,40.4800,146.8800,0.000193
FILLER_50_53,VGND,li1,30.1300,146.8800,0.000117
FILLER_50_41,VGND,li1,27.1400,146.8800,0.000095
FILLER_50_29,VGND,li1,21.6200,146.8800,0.000079
FILLER_50_27,VGND,li1,18.1700,146.8800,0.000079
FILLER_50_15,VGND,li1,15.1800,146.8800,0.000079
FILLER_50_3,VGND,li1,9.6600,146.8800,0.000079
FILLER_49_308,VGND,li1,147.8900,146.8800,0.000509
FILLER_49_297,VGND,li1,142.8300,146.8800,0.000509
FILLER_49_289,VGND,li1,139.1500,146.8800,0.000504
FILLER_49_281,VGND,li1,136.6200,146.8800,0.000501
FILLER_49_277,VGND,li1,133.6300,146.8800,0.000498
FILLER_49_265,VGND,li1,127.8800,146.8800,0.000492
FILLER_49_253,VGND,li1,124.6600,146.8800,0.000487
FILLER_49_237,VGND,li1,115.2300,146.8800,0.000474
FILLER_49_225,VGND,li1,111.7800,146.8800,0.000470
FILLER_49_222,VGND,li1,108.1000,146.8800,0.000466
FILLER_49_210,VGND,li1,104.8800,146.8800,0.000460
FILLER_49_201,VGND,li1,98.2100,146.8800,0.000450
FILLER_49_189,VGND,li1,95.2200,146.8800,0.000444
FILLER_49_169,VGND,li1,84.1800,146.8800,0.000423
FILLER_49_165,VGND,li1,82.1100,146.8800,0.000417
FILLER_49_157,VGND,li1,79.5800,146.8800,0.000409
FILLER_49_147,VGND,li1,74.0600,146.8800,0.000383
FILLER_49_137,VGND,li1,69.0000,146.8800,0.000366
FILLER_49_106,VGND,li1,54.5100,146.8800,0.000276
FILLER_49_100,VGND,li1,52.9000,146.8800,0.000276
FILLER_49_88,VGND,li1,47.3800,146.8800,0.000233
FILLER_49_73,VGND,li1,39.3300,146.8800,0.000178
FILLER_49_69,VGND,li1,38.1800,146.8800,0.000178
FILLER_49_57,VGND,li1,34.5000,146.8800,0.000150
FILLER_49_55,VGND,li1,31.0500,146.8800,0.000117
FILLER_49_51,VGND,li1,29.9000,146.8800,0.000117
FILLER_49_39,VGND,li1,26.2200,146.8800,0.000079
FILLER_49_27,VGND,li1,20.7000,146.8800,0.000079
FILLER_49_15,VGND,li1,15.1800,146.8800,0.000079
FILLER_49_3,VGND,li1,9.6600,146.8800,0.000079
FILLER_48_309,VGND,li1,148.1200,141.4400,0.000422
FILLER_48_249,VGND,li1,120.7500,141.4400,0.000377
FILLER_48_231,VGND,li1,113.1600,141.4400,0.000348
FILLER_48_209,VGND,li1,101.8900,141.4400,0.000306
FILLER_48_205,VGND,li1,100.7400,141.4400,0.000306
FILLER_48_195,VGND,li1,95.4500,141.4400,0.000285
FILLER_48_183,VGND,li1,92.4600,141.4400,0.000275
FILLER_48_165,VGND,li1,84.1800,141.4400,0.000250
FILLER_48_153,VGND,li1,78.6600,141.4400,0.000231
FILLER_48_141,VGND,li1,73.1400,141.4400,0.000212
FILLER_48_138,VGND,li1,69.4600,141.4400,0.000200
FILLER_48_129,VGND,li1,65.0900,141.4400,0.000184
FILLER_48_113,VGND,li1,59.3400,141.4400,0.000163
FILLER_48_88,VGND,li1,46.9200,141.4400,0.000114
FILLER_48_81,VGND,li1,43.4700,141.4400,0.000107
FILLER_48_69,VGND,li1,40.0200,141.4400,0.000088
FILLER_48_57,VGND,li1,34.5000,141.4400,0.000074
FILLER_48_49,VGND,li1,28.7500,141.4400,0.000052
FILLER_48_41,VGND,li1,26.2200,141.4400,0.000038
FILLER_48_29,VGND,li1,21.6200,141.4400,0.000038
FILLER_48_27,VGND,li1,18.1700,141.4400,0.000038
FILLER_48_15,VGND,li1,15.1800,141.4400,0.000038
FILLER_48_3,VGND,li1,9.6600,141.4400,0.000038
FILLER_47_305,VGND,li1,146.2800,141.4400,0.000422
FILLER_47_287,VGND,li1,137.7700,141.4400,0.000416
FILLER_47_281,VGND,li1,136.1600,141.4400,0.000412
FILLER_47_279,VGND,li1,134.0900,141.4400,0.000410
FILLER_47_273,VGND,li1,132.4800,141.4400,0.000410
FILLER_47_260,VGND,li1,126.5000,141.4400,0.000394
FILLER_47_248,VGND,li1,122.3600,141.4400,0.000377
FILLER_47_235,VGND,li1,115.4600,141.4400,0.000359
FILLER_47_212,VGND,li1,105.8000,141.4400,0.000325
FILLER_47_197,VGND,li1,96.8300,141.4400,0.000291
FILLER_47_185,VGND,li1,91.3100,141.4400,0.000275
FILLER_47_177,VGND,li1,88.7800,141.4400,0.000265
FILLER_47_169,VGND,li1,83.9500,141.4400,0.000250
FILLER_47_164,VGND,li1,81.8800,141.4400,0.000243
FILLER_47_153,VGND,li1,76.1300,141.4400,0.000223
FILLER_47_134,VGND,li1,67.6200,141.4400,0.000192
FILLER_47_126,VGND,li1,65.3200,141.4400,0.000184
FILLER_47_109,VGND,li1,56.3500,141.4400,0.000153
FILLER_47_93,VGND,li1,48.7600,141.4400,0.000126
FILLER_47_57,VGND,li1,34.5000,141.4400,0.000074
FILLER_47_55,VGND,li1,31.0500,141.4400,0.000059
FILLER_47_51,VGND,li1,29.9000,141.4400,0.000052
FILLER_47_39,VGND,li1,26.2200,141.4400,0.000038
FILLER_47_27,VGND,li1,20.7000,141.4400,0.000038
FILLER_47_15,VGND,li1,15.1800,141.4400,0.000038
FILLER_47_3,VGND,li1,9.6600,141.4400,0.000038
FILLER_46_309,VGND,li1,148.1200,136.0000,0.001188
FILLER_46_296,VGND,li1,143.5200,136.0000,0.001188
FILLER_46_277,VGND,li1,133.4000,136.0000,0.001176
FILLER_46_269,VGND,li1,131.1000,136.0000,0.001173
FILLER_46_257,VGND,li1,126.5000,136.0000,0.001165
FILLER_46_250,VGND,li1,120.9800,136.0000,0.001158
FILLER_46_233,VGND,li1,113.1600,136.0000,0.001145
FILLER_46_224,VGND,li1,108.7900,136.0000,0.001134
FILLER_46_213,VGND,li1,103.7300,136.0000,0.001121
FILLER_46_197,VGND,li1,96.3700,136.0000,0.001096
FILLER_46_193,VGND,li1,94.9900,136.0000,0.001096
FILLER_46_185,VGND,li1,92.4600,136.0000,0.001085
FILLER_46_170,VGND,li1,83.9500,136.0000,0.001063
FILLER_46_151,VGND,li1,75.9000,136.0000,0.001042
FILLER_46_118,VGND,li1,60.0300,136.0000,0.000915
FILLER_46_106,VGND,li1,57.0400,136.0000,0.000879
FILLER_46_83,VGND,li1,43.9300,136.0000,0.000647
FILLER_46_49,VGND,li1,28.7500,136.0000,0.000287
FILLER_46_41,VGND,li1,26.2200,136.0000,0.000229
FILLER_46_29,VGND,li1,21.6200,136.0000,0.000229
FILLER_46_27,VGND,li1,18.1700,136.0000,0.000229
FILLER_46_15,VGND,li1,15.1800,136.0000,0.000229
FILLER_46_3,VGND,li1,9.6600,136.0000,0.000229
FILLER_45_293,VGND,li1,140.7600,136.0000,0.001184
FILLER_45_274,VGND,li1,132.9400,136.0000,0.001176
FILLER_45_264,VGND,li1,127.8800,136.0000,0.001169
FILLER_45_248,VGND,li1,121.4400,136.0000,0.001158
FILLER_45_212,VGND,li1,103.7300,136.0000,0.001121
FILLER_45_200,VGND,li1,100.2800,136.0000,0.001111
FILLER_45_188,VGND,li1,94.7600,136.0000,0.001096
FILLER_45_182,VGND,li1,89.4700,136.0000,0.001078
FILLER_45_178,VGND,li1,88.3200,136.0000,0.001078
FILLER_45_169,VGND,li1,83.9500,136.0000,0.001063
FILLER_45_166,VGND,li1,82.3400,136.0000,0.001058
FILLER_45_154,VGND,li1,79.1200,136.0000,0.001047
FILLER_45_127,VGND,li1,64.6300,136.0000,0.000971
FILLER_45_120,VGND,li1,60.9500,136.0000,0.000915
FILLER_45_91,VGND,li1,47.6100,136.0000,0.000695
FILLER_45_80,VGND,li1,42.5500,136.0000,0.000594
FILLER_45_76,VGND,li1,41.4000,136.0000,0.000594
FILLER_45_65,VGND,li1,36.8000,136.0000,0.000497
FILLER_45_57,VGND,li1,32.6600,136.0000,0.000385
FILLER_45_55,VGND,li1,31.0500,136.0000,0.000344
FILLER_45_27,VGND,li1,20.7000,136.0000,0.000229
FILLER_45_15,VGND,li1,15.1800,136.0000,0.000229
FILLER_45_3,VGND,li1,9.6600,136.0000,0.000229
FILLER_44_309,VGND,li1,148.1200,130.5600,0.002067
FILLER_44_244,VGND,li1,119.6000,130.5600,0.002061
FILLER_44_212,VGND,li1,104.8800,130.5600,0.001923
FILLER_44_197,VGND,li1,97.9800,130.5600,0.001790
FILLER_44_173,VGND,li1,86.0200,130.5600,0.001584
FILLER_44_161,VGND,li1,82.3400,130.5600,0.001487
FILLER_44_141,VGND,li1,71.0700,130.5600,0.001278
FILLER_44_136,VGND,li1,69.0000,130.5600,0.001234
FILLER_44_127,VGND,li1,64.8600,130.5600,0.001145
FILLER_44_118,VGND,li1,60.2600,130.5600,0.001046
FILLER_44_109,VGND,li1,56.1200,130.5600,0.000922
FILLER_44_101,VGND,li1,52.6700,130.5600,0.000882
FILLER_44_83,VGND,li1,43.9300,130.5600,0.000670
FILLER_44_77,VGND,li1,42.3200,130.5600,0.000622
FILLER_44_65,VGND,li1,38.1800,130.5600,0.000515
FILLER_44_53,VGND,li1,32.6600,130.5600,0.000424
FILLER_44_41,VGND,li1,27.1400,130.5600,0.000294
FILLER_44_29,VGND,li1,21.6200,130.5600,0.000252
FILLER_44_27,VGND,li1,18.1700,130.5600,0.000252
FILLER_44_15,VGND,li1,15.1800,130.5600,0.000252
FILLER_44_3,VGND,li1,9.6600,130.5600,0.000252
FILLER_43_301,VGND,li1,144.4400,130.5600,0.002067
FILLER_43_285,VGND,li1,136.8500,130.5600,0.002067
FILLER_43_281,VGND,li1,135.7000,130.5600,0.002067
FILLER_43_274,VGND,li1,132.9400,130.5600,0.002067
FILLER_43_257,VGND,li1,124.4300,130.5600,0.002067
FILLER_43_245,VGND,li1,120.9800,130.5600,0.002061
FILLER_43_223,VGND,li1,108.3300,130.5600,0.001955
FILLER_43_217,VGND,li1,106.7200,130.5600,0.001955
FILLER_43_205,VGND,li1,102.5800,130.5600,0.001862
FILLER_43_193,VGND,li1,95.2200,130.5600,0.001753
FILLER_43_160,VGND,li1,79.3500,130.5600,0.001418
FILLER_43_156,VGND,li1,78.2000,130.5600,0.001418
FILLER_43_118,VGND,li1,60.2600,130.5600,0.001046
FILLER_43_103,VGND,li1,53.8200,130.5600,0.000882
FILLER_43_91,VGND,li1,50.1400,130.5600,0.000827
FILLER_43_81,VGND,li1,43.2400,130.5600,0.000670
FILLER_43_57,VGND,li1,32.6600,130.5600,0.000424
FILLER_43_54,VGND,li1,30.8200,130.5600,0.000381
FILLER_43_46,VGND,li1,28.5200,130.5600,0.000294
FILLER_43_23,VGND,li1,16.7900,130.5600,0.000252
FILLER_43_15,VGND,li1,14.2600,130.5600,0.000252
FILLER_43_3,VGND,li1,9.6600,130.5600,0.000252
FILLER_42_309,VGND,li1,148.1200,125.1200,0.001364
FILLER_42_281,VGND,li1,135.7000,125.1200,0.001356
FILLER_42_264,VGND,li1,127.1900,125.1200,0.001341
FILLER_42_240,VGND,li1,118.6800,125.1200,0.001301
FILLER_42_228,VGND,li1,113.1600,125.1200,0.001239
FILLER_42_209,VGND,li1,102.1200,125.1200,0.001102
FILLER_42_197,VGND,li1,98.9000,125.1200,0.001076
FILLER_42_195,VGND,li1,95.4500,125.1200,0.001039
FILLER_42_187,VGND,li1,93.3800,125.1200,0.001007
FILLER_42_175,VGND,li1,88.7800,125.1200,0.000962
FILLER_42_170,VGND,li1,84.1800,125.1200,0.000896
FILLER_42_162,VGND,li1,81.8800,125.1200,0.000872
FILLER_42_150,VGND,li1,77.2800,125.1200,0.000829
FILLER_42_141,VGND,li1,70.8400,125.1200,0.000737
FILLER_42_120,VGND,li1,61.4100,125.1200,0.000628
FILLER_42_108,VGND,li1,57.9600,125.1200,0.000588
FILLER_42_91,VGND,li1,47.6100,125.1200,0.000476
FILLER_42_85,VGND,li1,46.0000,125.1200,0.000449
FILLER_42_82,VGND,li1,43.7000,125.1200,0.000425
FILLER_42_70,VGND,li1,40.4800,125.1200,0.000377
FILLER_42_60,VGND,li1,33.5800,125.1200,0.000291
FILLER_42_45,VGND,li1,26.4500,125.1200,0.000193
FILLER_42_41,VGND,li1,25.3000,125.1200,0.000157
FILLER_42_29,VGND,li1,21.6200,125.1200,0.000160
FILLER_42_24,VGND,li1,17.4800,125.1200,0.000166
FILLER_41_310,VGND,li1,148.3500,125.1200,0.001364
FILLER_41_297,VGND,li1,142.3700,125.1200,0.001364
FILLER_41_289,VGND,li1,138.6900,125.1200,0.001359
FILLER_41_281,VGND,li1,136.6200,125.1200,0.001356
FILLER_41_278,VGND,li1,133.8600,125.1200,0.001354
FILLER_41_267,VGND,li1,129.0300,125.1200,0.001346
FILLER_41_240,VGND,li1,116.1500,125.1200,0.001260
FILLER_41_231,VGND,li1,112.0100,125.1200,0.001208
FILLER_41_225,VGND,li1,110.4000,125.1200,0.001208
FILLER_41_222,VGND,li1,108.1000,125.1200,0.001183
FILLER_41_214,VGND,li1,105.8000,125.1200,0.001157
FILLER_41_173,VGND,li1,86.4800,125.1200,0.000923
FILLER_41_167,VGND,li1,82.5700,125.1200,0.000872
FILLER_41_161,VGND,li1,80.9600,125.1200,0.000872
FILLER_41_141,VGND,li1,70.6100,125.1200,0.000737
FILLER_41_137,VGND,li1,69.4600,125.1200,0.000737
