Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_309,VPWR,li1,148.1200,155.0400,1.799939
FILLER_52_307,VPWR,li1,146.9700,155.0400,1.799939
FILLER_52_303,VPWR,li1,145.8200,155.0400,1.799939
FILLER_52_279,VPWR,li1,134.0900,155.0400,1.799939
FILLER_52_250,VPWR,li1,120.9800,155.0400,1.799939
FILLER_52_222,VPWR,li1,108.1000,155.0400,1.799940
FILLER_52_195,VPWR,li1,95.4500,155.0400,1.799942
FILLER_52_169,VPWR,li1,83.4900,155.0400,1.799943
FILLER_52_161,VPWR,li1,80.2700,155.0400,1.799944
FILLER_52_154,VPWR,li1,77.0500,155.0400,1.799945
FILLER_52_147,VPWR,li1,73.8300,155.0400,1.799947
FILLER_52_141,VPWR,li1,70.8400,155.0400,1.799948
FILLER_52_133,VPWR,li1,67.3900,155.0400,1.799949
FILLER_52_126,VPWR,li1,64.1700,155.0400,1.799951
FILLER_52_121,VPWR,li1,61.4100,155.0400,1.799953
FILLER_52_113,VPWR,li1,59.3400,155.0400,1.799954
FILLER_52_111,VPWR,li1,56.8100,155.0400,1.799957
FILLER_52_105,VPWR,li1,55.2000,155.0400,1.799957
FILLER_52_100,VPWR,li1,51.7500,155.0400,1.799959
FILLER_52_85,VPWR,li1,45.3100,155.0400,1.799965
FILLER_52_76,VPWR,li1,41.4000,155.0400,1.799968
FILLER_52_64,VPWR,li1,37.7200,155.0400,1.799972
FILLER_52_57,VPWR,li1,32.2000,155.0400,1.799980
FILLER_52_53,VPWR,li1,30.5900,155.0400,1.799980
FILLER_52_41,VPWR,li1,27.1400,155.0400,1.799983
FILLER_52_29,VPWR,li1,21.6200,155.0400,1.799989
FILLER_52_27,VPWR,li1,18.1700,155.0400,1.799989
FILLER_52_15,VPWR,li1,15.1800,155.0400,1.799989
FILLER_52_3,VPWR,li1,9.6600,155.0400,1.799989
FILLER_51_305,VPWR,li1,146.2800,149.6000,1.798781
FILLER_51_271,VPWR,li1,130.6400,149.6000,1.798805
FILLER_51_254,VPWR,li1,122.5900,149.6000,1.798828
FILLER_51_221,VPWR,li1,107.8700,149.6000,1.798883
FILLER_51_166,VPWR,li1,82.3400,149.6000,1.799036
FILLER_51_158,VPWR,li1,80.0400,149.6000,1.799053
FILLER_51_125,VPWR,li1,63.2500,149.6000,1.799226
FILLER_51_121,VPWR,li1,62.1000,149.6000,1.799226
FILLER_51_95,VPWR,li1,49.4500,149.6000,1.799393
FILLER_51_76,VPWR,li1,41.1700,149.6000,1.799507
FILLER_51_57,VPWR,li1,32.4300,149.6000,1.799630
FILLER_51_55,VPWR,li1,31.0500,149.6000,1.799673
FILLER_51_51,VPWR,li1,29.9000,149.6000,1.799673
FILLER_51_39,VPWR,li1,26.2200,149.6000,1.799736
FILLER_51_27,VPWR,li1,20.7000,149.6000,1.799830
FILLER_51_15,VPWR,li1,15.1800,149.6000,1.799830
FILLER_51_3,VPWR,li1,9.6600,149.6000,1.799830
FILLER_50_309,VPWR,li1,148.1200,149.6000,1.798781
FILLER_50_291,VPWR,li1,139.6100,149.6000,1.798787
FILLER_50_287,VPWR,li1,138.4600,149.6000,1.798787
FILLER_50_282,VPWR,li1,135.4700,149.6000,1.798796
FILLER_50_276,VPWR,li1,133.8600,149.6000,1.798800
FILLER_50_260,VPWR,li1,127.8800,149.6000,1.798814
FILLER_50_245,VPWR,li1,118.9100,149.6000,1.798846
FILLER_50_238,VPWR,li1,115.6900,149.6000,1.798857
FILLER_50_233,VPWR,li1,112.9300,149.6000,1.798867
FILLER_50_227,VPWR,li1,111.3200,149.6000,1.798867
FILLER_50_220,VPWR,li1,107.1800,149.6000,1.798893
FILLER_50_188,VPWR,li1,92.2300,149.6000,1.798977
FILLER_50_184,VPWR,li1,91.0800,149.6000,1.798977
FILLER_50_146,VPWR,li1,73.1400,149.6000,1.799129
FILLER_50_138,VPWR,li1,69.4600,149.6000,1.799149
FILLER_50_126,VPWR,li1,66.2400,149.6000,1.799180
FILLER_50_102,VPWR,li1,54.2800,149.6000,1.799329
FILLER_50_93,VPWR,li1,48.5300,149.6000,1.799393
FILLER_50_82,VPWR,li1,43.7000,149.6000,1.799460
FILLER_50_70,VPWR,li1,40.4800,149.6000,1.799507
FILLER_50_53,VPWR,li1,30.1300,149.6000,1.799673
FILLER_50_41,VPWR,li1,27.1400,149.6000,1.799736
FILLER_50_29,VPWR,li1,21.6200,149.6000,1.799830
FILLER_50_27,VPWR,li1,18.1700,149.6000,1.799830
FILLER_50_15,VPWR,li1,15.1800,149.6000,1.799830
FILLER_50_3,VPWR,li1,9.6600,149.6000,1.799830
FILLER_49_308,VPWR,li1,147.8900,144.1600,1.799276
FILLER_49_297,VPWR,li1,142.8300,144.1600,1.799276
FILLER_49_289,VPWR,li1,139.1500,144.1600,1.799281
FILLER_49_281,VPWR,li1,136.6200,144.1600,1.799284
FILLER_49_277,VPWR,li1,133.6300,144.1600,1.799287
FILLER_49_265,VPWR,li1,127.8800,144.1600,1.799298
FILLER_49_253,VPWR,li1,124.6600,144.1600,1.799306
FILLER_49_237,VPWR,li1,115.2300,144.1600,1.799340
FILLER_49_225,VPWR,li1,111.7800,144.1600,1.799357
FILLER_49_222,VPWR,li1,108.1000,144.1600,1.799366
FILLER_49_210,VPWR,li1,104.8800,144.1600,1.799378
FILLER_49_201,VPWR,li1,98.2100,144.1600,1.799412
FILLER_49_189,VPWR,li1,95.2200,144.1600,1.799425
FILLER_49_169,VPWR,li1,84.1800,144.1600,1.799484
FILLER_49_165,VPWR,li1,82.1100,144.1600,1.799496
FILLER_49_157,VPWR,li1,79.5800,144.1600,1.799517
FILLER_49_147,VPWR,li1,74.0600,144.1600,1.799550
FILLER_49_137,VPWR,li1,69.0000,144.1600,1.799575
FILLER_49_106,VPWR,li1,54.5100,144.1600,1.799676
FILLER_49_100,VPWR,li1,52.9000,144.1600,1.799689
FILLER_49_88,VPWR,li1,47.3800,144.1600,1.799728
FILLER_49_73,VPWR,li1,39.3300,144.1600,1.799796
FILLER_49_69,VPWR,li1,38.1800,144.1600,1.799796
FILLER_49_57,VPWR,li1,34.5000,144.1600,1.799823
FILLER_49_55,VPWR,li1,31.0500,144.1600,1.799852
FILLER_49_51,VPWR,li1,29.9000,144.1600,1.799866
FILLER_49_39,VPWR,li1,26.2200,144.1600,1.799885
FILLER_49_27,VPWR,li1,20.7000,144.1600,1.799926
FILLER_49_15,VPWR,li1,15.1800,144.1600,1.799926
FILLER_49_3,VPWR,li1,9.6600,144.1600,1.799926
FILLER_48_309,VPWR,li1,148.1200,144.1600,1.799276
FILLER_48_249,VPWR,li1,120.7500,144.1600,1.799319
FILLER_48_231,VPWR,li1,113.1600,144.1600,1.799347
