Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_49_258,VPWR,li1,124.8900,144.1600,1.799320
FILLER_49_250,VPWR,li1,122.3600,144.1600,1.799324
FILLER_49_233,VPWR,li1,112.9300,144.1600,1.799337
FILLER_49_225,VPWR,li1,110.8600,144.1600,1.799342
FILLER_49_223,VPWR,li1,108.3300,144.1600,1.799348
FILLER_49_215,VPWR,li1,106.2600,144.1600,1.799353
FILLER_49_202,VPWR,li1,100.2800,144.1600,1.799370
FILLER_49_185,VPWR,li1,90.8500,144.1600,1.799397
FILLER_49_113,VPWR,li1,57.7300,144.1600,1.799580
FILLER_49_70,VPWR,li1,37.9500,144.1600,1.799745
FILLER_49_66,VPWR,li1,36.8000,144.1600,1.799745
FILLER_49_57,VPWR,li1,32.2000,144.1600,1.799802
FILLER_49_53,VPWR,li1,30.5900,144.1600,1.799802
FILLER_49_41,VPWR,li1,25.0700,144.1600,1.799857
FILLER_49_18,VPWR,li1,16.5600,144.1600,1.799886
FILLER_49_6,VPWR,li1,11.0400,144.1600,1.799885
FILLER_48_309,VPWR,li1,148.1200,144.1600,1.799300
FILLER_48_301,VPWR,li1,144.6700,144.1600,1.799300
FILLER_48_265,VPWR,li1,128.8000,144.1600,1.799317
FILLER_48_253,VPWR,li1,124.6600,144.1600,1.799320
FILLER_48_251,VPWR,li1,121.2100,144.1600,1.799326
FILLER_48_245,VPWR,li1,119.6000,144.1600,1.799326
FILLER_48_233,VPWR,li1,115.4600,144.1600,1.799331
FILLER_48_221,VPWR,li1,109.9400,144.1600,1.799348
FILLER_48_209,VPWR,li1,104.4200,144.1600,1.799360
FILLER_48_197,VPWR,li1,98.9000,144.1600,1.799370
FILLER_48_190,VPWR,li1,94.3000,144.1600,1.799381
FILLER_48_166,VPWR,li1,82.5700,144.1600,1.799432
FILLER_48_158,VPWR,li1,80.0400,144.1600,1.799443
FILLER_48_141,VPWR,li1,70.6100,144.1600,1.799502
FILLER_48_139,VPWR,li1,69.6900,144.1600,1.799502
FILLER_48_109,VPWR,li1,57.0400,144.1600,1.799580
FILLER_48_71,VPWR,li1,38.8700,144.1600,1.799726
FILLER_48_45,VPWR,li1,26.6800,144.1600,1.799857
FILLER_48_21,VPWR,li1,15.4100,144.1600,1.799886
FILLER_48_15,VPWR,li1,13.8000,144.1600,1.799886
FILLER_48_3,VPWR,li1,9.6600,144.1600,1.799885
FILLER_47_310,VPWR,li1,148.3500,138.7200,1.799847
FILLER_47_302,VPWR,li1,146.2800,138.7200,1.799847
FILLER_47_290,VPWR,li1,141.6800,138.7200,1.799847
FILLER_47_267,VPWR,li1,128.5700,138.7200,1.799847
FILLER_47_261,VPWR,li1,126.9600,138.7200,1.799847
FILLER_47_249,VPWR,li1,122.8200,138.7200,1.799847
FILLER_47_237,VPWR,li1,117.3000,138.7200,1.799847
FILLER_47_225,VPWR,li1,111.7800,138.7200,1.799848
FILLER_47_218,VPWR,li1,107.1800,138.7200,1.799848
FILLER_47_210,VPWR,li1,103.0400,138.7200,1.799848
FILLER_47_203,VPWR,li1,99.3600,138.7200,1.799849
FILLER_47_195,VPWR,li1,97.0600,138.7200,1.799851
FILLER_47_177,VPWR,li1,87.4000,138.7200,1.799857
FILLER_47_169,VPWR,li1,83.9500,138.7200,1.799859
FILLER_47_162,VPWR,li1,81.4200,138.7200,1.799861
FILLER_47_150,VPWR,li1,77.2800,138.7200,1.799864
FILLER_47_146,VPWR,li1,72.9100,138.7200,1.799869
