net,length_um
net130,205.8µm
_0078_,195.45µm
_0074_,193.4µm
net117,190.86µm
net80,180.66µm
net113,179.86µm
net82,178.785µm
net104,177.94µm
net79,174.74µm
_0079_,171.82µm
net99,165.06µm
net89,161.2µm
net121,160.64µm
_0070_,152.58µm
net124,151.975µm
net84,151.84µm
clknet_0_clk,150.4µm
net100,149.04µm
net119,145.845µm
net123,142.635µm
net83,142.39µm
_0076_,142.38µm
net128,142.16µm
net3,141.58µm
net78,141.08µm
clknet_3_2__leaf_clk,139.08µm
net86,136.16µm
net5,135.58µm
net17,133.87µm
_0085_,133.58µm
_0080_,129.98µm
net18,127.44µm
net116,126.58µm
net2,125.8µm
_0073_,124.3µm
net107,124.175µm
net125,121.18µm
v_pipe,120.69µm
_0000_,120.08µm
net103,119.73µm
net118,119.49µm
net132,117.99µm
_0232_,116.53µm
clk,113.03µm
net122,112.625µm
net77,111.8µm
net115,109.72µm
net97,109.68µm
_0196_,108.48µm
net111,108.14µm
net76,106.535µm
net85,106.17µm
net114,106.08µm
net95,103.96µm
net129,103.92µm
clknet_3_7__leaf_clk,100.47µm
net75,99.68µm
clknet_3_3__leaf_clk,98.68µm
net127,97.64µm
net105,97.17µm
net126,95.82µm
net102,95µm
clknet_3_0__leaf_clk,93.88µm
net101,93.8µm
net87,93.24µm
net377,91.595µm
_0077_,90.93µm
_0075_,89.8µm
_0086_,89.41µm
clknet_3_5__leaf_clk,87.1µm
net131,86.635µm
net81,79.53µm
net93,78.16µm
_0082_,76.32µm
net72,75.9µm
clknet_3_6__leaf_clk,75.9µm
net88,71.86µm
net109,71.71µm
net92,71.46µm
clknet_3_4__leaf_clk,69.88µm
net171,69.32µm
net90,67.96µm
net110,65.94µm
net74,65.14µm
net108,64µm
net167,63.28µm
net44,61.33µm
_0479_,60.38µm
net120,60.12µm
_0386_,59.94µm
net16,59.54µm
_0210_,59.22µm
net91,59.16µm
_0182_,58.34µm
_0586_,58.02µm
_0427_,58µm
net112,56.3µm
net173,53.46µm
net68,53.12µm
_0366_,52.6µm
net38,51.97µm
net15,51.94µm
net98,51.34µm
product_reg\[1\],50.9µm
_0375_,50.4µm
net340,50.34µm
_0475_,50.02µm
clknet_3_1__leaf_clk,49.72µm
_0342_,49.52µm
net42,49.255µm
net41,48.66µm
_0374_,48.46µm
product_reg\[5\],48.46µm
_0216_,48.38µm
net58,47.24µm
_0478_,46.84µm
net40,46.375µm
net64,46.18µm
net106,45.82µm
net65,45.3µm
net341,44.96µm
